,date,text_blob,vader_sentiment
0,2022-04-12,0.3,0.1
1,2022-04-13,-0.08426966292134831,0.09550561797752809
2,2022-04-14,-0.2761904761904762,0.06349206349206349
3,2022-04-15,-0.23404255319148937,0.03546099290780142
4,2022-04-16,-0.2054794520547945,0.0684931506849315
5,2022-04-17,-0.16037735849056603,0.08490566037735849
6,2022-04-18,0.07207207207207207,0.08108108108108109
7,2022-04-19,0.05714285714285714,0.12571428571428572
8,2022-04-20,0.038461538461538464,0.08333333333333333
9,2022-04-21,-0.35135135135135137,0.05405405405405406
