,text,favourite_count,retweet_count,created_at
40,"You know what yes it's fiction , yes we watched this moment on screen and Busra didn't hear this words herself , i  https://t.co/N8BUoeAsoc",1,0,2022-04-20 19:45:02+00:00
41,After two years of waiting I am finally ready to press the red button. #Baba https://t.co/9iz3f7efCB,0,0,2022-04-20 19:42:39+00:00
42,"#Baba: My baba is the best as sanchalak, he is fair and played based on rules and didnt restrict them by creating u  https://t.co/yVkxlGMKAh",3,0,2022-04-20 19:40:14+00:00
43,"@Damlasu_gifs   She melts my heart sweetly  !
  #Damlasu kizo lu #Baba  ",0,0,2022-04-20 19:40:06+00:00
44,"@AirdropStario nice project
#Futra1989
#Wahhu209
#LinAnderson 
#Baba 
#LeDesk",0,0,2022-04-20 19:38:54+00:00
45,@AzaiezSamar I agree. I also know how much Kadir loved Seville and the show kinda got rid of her. I just hope Gokha  https://t.co/5QuyT0yOIi,1,0,2022-04-20 19:27:28+00:00
46,"into your arms   

#ilb  #baba
# zgeya z #hakankurta  https://t.co/RoEgRwyvNU",37,4,2022-04-20 19:22:27+00:00
47,""" I entrusted you to GOD ""
Really ? And who is that GOD ? Nurses ? His fucking father ? Who ? 

OKAY, it's writers  https://t.co/CSUWjgA2Tm",3,1,2022-04-20 19:20:33+00:00
48,"7times in a row
#Brand for a reason
#BindhuMadhavi #Ariyana #hamida gave tough fight. #BiggBossNonStop #anchorshiva  https://t.co/4nnDxK8ai8",6,1,2022-04-20 19:18:05+00:00
49,"Bibi @BakhtawarBZ with #Mama  
Bibi @AseefaBZ with #Baba  https://t.co/SXAx5C66pF",1,1,2022-04-20 19:15:52+00:00
50,People are really upset about the breakup. Let s wait a few episodes and see what happens. Under no circumstances s  https://t.co/PzCV5t4XnT,1,0,2022-04-20 19:14:39+00:00
51,"@TolgacimS We love it, it's a dulce de leche bonbon, how can there be such a beautiful thing as dimee

#Baba  https://t.co/hZ7MeiudgX",3,0,2022-04-20 19:06:25+00:00
52,@ceyrankaracam I get the feeling it s done. The way Hakan promoted Emin and Ilhan and never #ilb . I just have a b  https://t.co/GtooJDwhfj,1,0,2022-04-20 19:04:15+00:00
53,I see it too but let s hope both Busra and Seville have stories that represent women. Yes love the bromance but it  https://t.co/eYL7sjFVbT,2,0,2022-04-20 19:01:12+00:00
54,++ he talks to her like he knows her very well . The fact that she was born in a wealthy family doesn't mean she go  https://t.co/T5czornkfF,1,0,2022-04-20 18:59:07+00:00
55,"Sorry this guy is the most stupid business man i have ever seen even in TV shows   

I understand he is kind but if  https://t.co/9W3Fmqkg6H",0,0,2022-04-20 18:59:06+00:00
56,"Beauty   .

#KadEl  #Baba https://t.co/0w7Uh7N9am",14,2,2022-04-20 18:57:45+00:00
57,@ilBusPoetry @babatvdizi The way Hakan was promoting one scene with Haluk &amp; he had all those great scenes with Ozge  https://t.co/3fAywiI47i,3,0,2022-04-20 18:57:01+00:00
58,"Just  
#TolgaSar ta  #Baba https://t.co/sBSbKsZZJH",10,1,2022-04-20 18:47:51+00:00
59,"First violence from Mr Blonde 
#baba #yenildim https://t.co/up9INcSmmr",6,0,2022-04-20 18:43:07+00:00
60,"Okay first of all , the next week maybe i give up #Baba as it already said everything they have to say . 

Actually  https://t.co/Fm2hju21SR",1,0,2022-04-20 18:37:04+00:00
61,So this shitty mother gave Busra bedroom to the dead nephew pregnant mistress when they kicked Busra out for Kissing Ilhan? # lb  #Baba,3,0,2022-04-20 18:37:03+00:00
62,"P A I N  

#ILB  # lhanKara am #HakanKurta  #Baba https://t.co/1fONODO2up",5,0,2022-04-20 18:36:54+00:00
63,she just left  lhan like this??? how can you leave him like this my angel is in pain but got up from the chair for  https://t.co/N9qLYikb00,12,1,2022-04-20 18:34:39+00:00
64,Ilhan seriously asking Emin if he prays 5 times a day everyday in yesterday's #baba episode. Still dying.,0,0,2022-04-20 18:25:18+00:00
65,The #shitcoin that valued legendary boomer investors telling to buy the dip #baba https://t.co/RPqr61mhqJ,0,0,2022-04-20 18:18:44+00:00
66,"Mark your calendars! @LindaYoungVA (the original #Frieza &amp; #Baba in the #DragonBall franchise, #Genkai in  https://t.co/BPrIM3Aq7h",1,0,2022-04-20 18:15:03+00:00
67,"I don't know who needs to hear   this, God can never forget you.
 #twitterban #At15 #christlandschool  https://t.co/lUJNeZhVmA",1,0,2022-04-20 18:13:58+00:00
68,"A #Baba theory :
 It is obvious that both Kadir and Ilhan parallel each other, they're the reflection of each othe  https://t.co/rsx24dHGwx",3,0,2022-04-20 18:01:22+00:00
69,I grew up in Hali AS A KID. Moved away after uni to explore the world + other parts of Canada. Now I'm back  WITH K  https://t.co/OowOrXWoLh,4,0,2022-04-20 17:57:30+00:00
70,"How are my loves, I hope everything goes well for you on this day. love to all

#Baba #TolgaSar ta  # zgeYa z",0,0,2022-04-20 17:51:49+00:00
71,"Fathers should know that sons follow their example  
 
#Baba #HalukBilginer #TolgaSar ta  https://t.co/ze30aGiNAI",5,0,2022-04-20 17:43:23+00:00
72,"@elmila_ haha i love these scenes where kadir shows all his love to ahmet haha   

#Baba #TolgaSar ta  # zgeYa z",1,0,2022-04-20 17:41:26+00:00
73,@mosettarodrigue As Bushra need serious help as her life similar to ilhan in the sense his daddy never see him or s  https://t.co/TFeSr2GrAj,0,0,2022-04-20 17:39:47+00:00
74,@JamaGirl1 It would be better story telling to go through her independence making her own decisions her own way in life yadda yadda. #Baba,1,0,2022-04-20 17:36:30+00:00
75,"tell me guys if our kadir isn't sweet oh it's that I love him with deep love

#Baba #TolgaSar ta  # zgeYa z  https://t.co/QhvZ0wyMyU",1,0,2022-04-20 17:35:34+00:00
76,@mosettarodrigue Yes Bushra need to get herself together before she can talk about being with another man as it see  https://t.co/k2jEFnfdFg,1,0,2022-04-20 17:34:36+00:00
77,@JamaGirl1 B hra needs to do her not get involved w this dude. That's more important then getting w this unbalance man. #Baba,1,0,2022-04-20 17:32:07+00:00
78,"""Servet is the son who was loved by his parents.""

 So, it was obvious he would snap first, because he does not ha  https://t.co/ZUk8ss7Zuh",0,0,2022-04-20 17:20:50+00:00
79,@JamaGirl1 Waiting for the downfall. #Baba,1,0,2022-04-20 17:09:35+00:00
80,@JamaGirl1 The two of them don't fit. #Baba,1,0,2022-04-20 17:08:43+00:00
81,@mosettarodrigue This man is so vile was he like this or seeing the money made him to evil #Baba,1,0,2022-04-20 17:07:57+00:00
82,"#Baba  is a flawless dizi, when it comes to the development of characters plot or the whole storyline. 

I salute t  https://t.co/Quhiuh4Dv5",0,0,2022-04-20 17:06:15+00:00
83,@JamaGirl1 I saw this scene and i immediately said bitch you don't have a clue. Karma is coming for that idiot. #Baba,1,0,2022-04-20 17:06:09+00:00
84,@mosettarodrigue Nope and seems they are forcing it WHY WHY #Baba,0,0,2022-04-20 17:01:49+00:00
85,@JamaGirl1 Not feeling her w him. #Baba,1,0,2022-04-20 17:01:05+00:00
86,LMAO I was happy seeing ilhan and Emin working together but now I have to wonder if ilhan trying to get papa to oka  https://t.co/Meahp3qCWC,0,0,2022-04-20 16:52:35+00:00
87,@johnamutete2022 @Ruthyodinga @edwinsifuna for senator @EstherPassaris for women rep @Igathepolycarp governor  https://t.co/GV3tTg5Z3b,1,0,2022-04-20 16:46:32+00:00
88,Poor ilhan his life was lonely and miserable but Bushra will fix that with some good LOVING #Baba https://t.co/h9qiMdhjJv,2,0,2022-04-20 16:43:17+00:00
89,"No but for real my obsession with those two is so not healthy. I'm literally in love with them 

#Baba   #KadEl https://t.co/GcAGrCNWD6",32,9,2022-04-20 16:43:06+00:00
90,"@FanpageOzge that's right I think we all want a kadir in our lives 

#Baba #TolgaSar ta  # zgeYa z",1,0,2022-04-20 16:39:10+00:00
91,#vinyljunkie Check out Pete Townshend &amp; Ronnie Lane   Happy Birthday 1970 #mehar  BaBa   Productions #folkmusic  https://t.co/YkFDMhKdNh,0,0,2022-04-20 16:38:07+00:00
92,I hope they have cameras in this garage as this boy is a criminal all the men in this family are ignorant and viole  https://t.co/B1zFqAtVAq,1,0,2022-04-20 16:31:16+00:00
93,"#Sreemukhi-#Baba master bond &amp; conversations were really entertaining in S3.
#BiggBossNonStop https://t.co/WSOqF8R4el",9,0,2022-04-20 16:26:41+00:00
94,"There is a power outage in my house, can I stay in the palace Until the electricity comes back   trust me I won t  https://t.co/qTIV24ctI7",0,0,2022-04-20 16:24:37+00:00
95,I see ilhan join with Kadir and fight his PAPA #Baba https://t.co/vCPRzcdL2l,1,0,2022-04-20 16:22:56+00:00
96,"This scene was so pure  
Just look at Ilhan s eyes while reaching for her hands.  

#ilb . #Baba https://t.co/n28EMIaFTl",9,0,2022-04-20 16:15:35+00:00
97,May your successes continue to grow baby  #Baba # zgeYa z https://t.co/0ZdFjsil7o,45,16,2022-04-20 16:13:17+00:00
98,Yes Ceyhun they became very nasty and entitled dont worry when they fall I hope you are long gone #Baba https://t.co/2bnsI5Ghka,0,0,2022-04-20 16:11:50+00:00
99,Sorry not sorry but they both look FUCK UP TOGETHER her FACE IS TOO HARD #Baba https://t.co/A1H3McGuoz,0,0,2022-04-20 16:10:40+00:00
100,So this is where they going in Kadir life what happen to the other actress  #Baba https://t.co/6KPvZMEy2g,1,0,2022-04-20 16:05:21+00:00
101,"- Mood 

# zgeYa z   #Baba https://t.co/0AXMY46gzf",12,1,2022-04-20 16:04:54+00:00
102,"this is early warning sign of dictatorship,
bahujan have lost freedom.
** disobeying  #baba's instructions lead to  https://t.co/WVjAWGOzVG",0,0,2022-04-20 16:04:39+00:00
103,Proud and happy to have received my direct ticket from our party leader to fly the ODM flag in LAIKIPIA NORTH! Ahsa  https://t.co/7wnnu9yEXq,35,7,2022-04-20 16:01:49+00:00
104,when will Kadir get to live his own life all these logger head messing up their lives and going to him #Baba https://t.co/wFpkJvT4Sk,1,0,2022-04-20 15:55:07+00:00
105,"$BABA, $AMZN 's dirty little secret. - #BABA chart on @TradingView https://t.co/dfDp64pn35",0,0,2022-04-20 15:51:48+00:00
106,This POS need to be taken out now he is a horrible person #Baba https://t.co/iX7Q0EH0Jb,0,0,2022-04-20 15:44:44+00:00
107,Money really make this idiot become a fool he should have stayed in the country as it seems the bright light of the  https://t.co/L8oQC6TfqG,0,0,2022-04-20 15:41:00+00:00
108,So she willing to give up her independence by lying to live in the Asylum with these crazy family how stupid #Baba https://t.co/fgIL5ECXxd,0,0,2022-04-20 15:33:42+00:00
109,"Don't cry Bushu.
I promise in the end your father and brothers will perform Turkish historical wedding dance in you  https://t.co/R1zlcaMvtW",3,0,2022-04-20 15:22:27+00:00
110,"I LOVE U FOR INFINITY..  
  #ilB  | #Baba    https://t.co/4MUtjp8cHX",72,13,2022-04-20 15:18:49+00:00
111,"Ilhan bey you are just perfect  

#ilb . #Baba https://t.co/gxB545vh20",3,0,2022-04-20 15:18:23+00:00
112,@roxanalm13 @BESTCEOEU @dizilah @roxanalm13 Comparing daily soaps survival mode such as Emanet with Primetime shows  https://t.co/JjEg8jd09v,2,0,2022-04-20 15:14:07+00:00
113,Dam Sevette about to knock Baba teeth out #Baba https://t.co/81J7WlORpV,0,0,2022-04-20 15:06:25+00:00
114,CAN #BABA MAKE A RUN ....,0,0,2022-04-20 15:04:18+00:00
115,"Goodness if it exceeds its limits    
 
 
@tolgasaritas #Baba https://t.co/jQnQEG3ZQB",1,0,2022-04-20 14:57:16+00:00
116,"@babatvdizi @ShowTV @ayyapim I never thought I'd see this   and I love it.  Why Emin, he always shows his true pers  https://t.co/5tjRjTSJUw",2,1,2022-04-20 14:54:38+00:00
117,"the hashtag episode is still trending   and #Baba too amazing  

#Baba #yenildim # zgeYa z https://t.co/sBL6TRuJ88",7,2,2022-04-20 14:50:22+00:00
118,"There is a power outage in my house, can I stay in the palace Until the electricity comes back   trust me I won t  https://t.co/ClBYFbVSoJ",0,0,2022-04-20 14:49:30+00:00
119,"Bibi @BakhtawarBZ with #Mama  
Bibi @AseefaBZ with #Baba  https://t.co/cG3UJ7Rjre",94,50,2022-04-20 14:45:05+00:00
