,date,text_blob,vader_sentiment
0,2022-04-12,0.2857142857142857,0.14285714285714285
1,2022-04-13,0.24043715846994534,0.22950819672131148
2,2022-04-14,0.3973509933774834,0.31125827814569534
3,2022-04-15,0.3132530120481928,0.1746987951807229
4,2022-04-16,0.3024390243902439,0.23902439024390243
5,2022-04-17,0.38181818181818183,0.15454545454545454
6,2022-04-18,0.33884297520661155,0.08264462809917356
7,2022-04-19,0.296218487394958,0.21218487394957983
8,2022-04-20,0.44214876033057854,0.34710743801652894
9,2022-04-21,0.25,0.25
